year,Spain,Switzerland,Nigeria,USA
2001,15369.00116,39727.84667,590.381815,37133.62311
2002,17106.68658,42578.76314,741.7474939,37997.75966
2003,21510.83625,49470.39713,795.3862287,39490.27496
2004,24907.00085,54878.471,1007.874342,41724.63163
2005,26429.15094,56546.78566,1268.383462,44123.40707
2006,28389.07858,59300.61722,1656.424794,46302.00088
2007,32591.35031,65359.51922,1883.461388,48050.22378
2008,35510.72223,74572.23237,2259.114059,48570.04598
2009,32169.50285,72083.1677,1911.607866,47194.94335
2010,30532.48051,77117.12601,2280.437337,48650.64313
2011,31677.90031,91254.03476,2487.598017,50065.9665
